stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,vehicle_type,platform_code
16835,"Rygos st.",54.715750,25.232110,,,16835,"http://www.visimarsrutai.lt/#/stop/result?stopId=16835",,,,,,
16836,"Eišiškių sodai",54.626250,25.249470,,,16836,"http://www.visimarsrutai.lt/#/stop/result?stopId=16836",,,,,,
16837,"Salomėjos Nėries st.",54.738170,25.231750,,,16837,"http://www.visimarsrutai.lt/#/stop/result?stopId=16837",,,,,,
16838,Pūčkoriai,54.691120,25.367300,,,16838,"http://www.visimarsrutai.lt/#/stop/result?stopId=16838",,,,,,
16839,"Eišiškių sodai",54.627400,25.249540,,,16839,"http://www.visimarsrutai.lt/#/stop/result?stopId=16839",,,,,,
16840,"Vytauto st.",54.691730,25.256220,,,16840,"http://www.visimarsrutai.lt/#/stop/result?stopId=16840",,,,,,
16841,"Stepono Batoro st.",54.693120,25.378960,,,16841,"http://www.visimarsrutai.lt/#/stop/result?stopId=16841",,,,,,
16843,Riovonys,54.659670,25.233590,,,16843,"http://www.visimarsrutai.lt/#/stop/result?stopId=16843",,,,,,
16844,"Klinikų st.",54.711340,25.316690,,,16844,"http://www.visimarsrutai.lt/#/stop/result?stopId=16844",,,,,,
16845,"Kinologijos centras",54.648780,25.321310,,,16845,"http://www.visimarsrutai.lt/#/stop/result?stopId=16845",,,,,,
16846,"Kinologijos centras",54.649250,25.320530,,,16846,"http://www.visimarsrutai.lt/#/stop/result?stopId=16846",,,,,,
16848,"Stepono Batoro st.",54.693170,25.378020,,,16848,"http://www.visimarsrutai.lt/#/stop/result?stopId=16848",,,,,,
16849,Ąžuolijai,54.620260,25.244550,,,16849,"http://www.visimarsrutai.lt/#/stop/result?stopId=16849",,,,,,
16850,"Rodūnios kelias",54.641850,25.277710,,,16850,"http://www.visimarsrutai.lt/#/stop/result?stopId=16850",,,,,,
16851,"Lelijų st.",54.689490,25.400210,,,16851,"http://www.visimarsrutai.lt/#/stop/result?stopId=16851",,,,,,
16852,"Bernardinų sodas",54.684970,25.291100,,,16852,"http://www.visimarsrutai.lt/#/stop/result?stopId=16852",,,,,,
16854,Karoliniškės,54.692440,25.216310,,,16854,"http://www.visimarsrutai.lt/#/stop/result?stopId=16854",,,,,,
16855,"Bernardinų sodas",54.684720,25.290250,,,16855,"http://www.visimarsrutai.lt/#/stop/result?stopId=16855",,,,,,
16857,"Žemieji Pagiriai",54.581500,25.204420,,,16857,"http://www.visimarsrutai.lt/#/stop/result?stopId=16857",,,,,,
16858,"Vaikų ligoninė",54.755510,25.280540,,,16858,"http://www.visimarsrutai.lt/#/stop/result?stopId=16858",,,,,,
16859,"Dailės akademija",54.684010,25.292870,,,16859,"http://www.visimarsrutai.lt/#/stop/result?stopId=16859",,,,,,
16860,"Pramonės st.",54.694480,25.418650,,,16860,"http://www.visimarsrutai.lt/#/stop/result?stopId=16860",,,,,,
16861,"Žemieji Pagiriai",54.582720,25.206090,,,16861,"http://www.visimarsrutai.lt/#/stop/result?stopId=16861",,,,,,
16862,"Santariškių žiedas",54.763700,25.282150,,,16862,"http://www.visimarsrutai.lt/#/stop/result?stopId=16862",,,,,,
16863,"Vinco Kudirkos aikštė",54.688710,25.279820,,,16863,"http://www.visimarsrutai.lt/#/stop/result?stopId=16863",,,,,,
16864,"Skaistės st.",54.605730,25.393160,,,16864,"http://www.visimarsrutai.lt/#/stop/result?stopId=16864",,,,,,
16865,Raisteliai,54.611390,25.218120,,,16865,"http://www.visimarsrutai.lt/#/stop/result?stopId=16865",,,,,,
16866,"Sietyno st.",54.698580,25.221240,,,16866,"http://www.visimarsrutai.lt/#/stop/result?stopId=16866",,,,,,
16867,"Pūčkorių atodanga",54.691930,25.359510,,,16867,"http://www.visimarsrutai.lt/#/stop/result?stopId=16867",,,,,,
16868,Raisteliai,54.611230,25.217610,,,16868,"http://www.visimarsrutai.lt/#/stop/result?stopId=16868",,,,,,
16869,"Švitrigailos st.",54.674240,25.267920,,,16869,"http://www.visimarsrutai.lt/#/stop/result?stopId=16869",,,,,,
16870,"Pramonės st.",54.694350,25.418070,,,16870,"http://www.visimarsrutai.lt/#/stop/result?stopId=16870",,,,,,
16871,"Laisvės prospektas",54.696350,25.219920,,,16871,"http://www.visimarsrutai.lt/#/stop/result?stopId=16871",,,,,,
16872,"Durpių st.",54.596570,25.204560,,,16872,"http://www.visimarsrutai.lt/#/stop/result?stopId=16872",,,,,,
16873,"Muzikų st.",54.759210,25.281570,,,16873,"http://www.visimarsrutai.lt/#/stop/result?stopId=16873",,,,,,
