Transportas,Marsrutas,Grafikas,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,SekanciosStotelesNum,AtvykimoLaikasSekundemis,
Autobusai,42,42-02,2987,23865485,54856888,0,88,958,0,807,60600,
Autobusai,42,42-01,2969,23891868,54894872,29,94,990,-44,563,60615,
Autobusai,42,42-03,2861,23932492,54887415,9,48,970,189,375,60550,
Autobusai,42,42-05,1510,23950855,54884585,33,24,1005,61,410,60542,
Autobusai,23,23-01,1569,23927327,54889183,0,322,981,52,580,60473,
Autobusai,23,23-08,2804,23945895,54854137,34,314,998,-6,194,60533,
Autobusai,23,23-05,2838,23885695,54904917,30,118,985,-55,561,60665,
Autobusai,23,23-03,2840,23943372,54855437,0,144,947,345,793,60466,
Autobusai,23,23-07,2841,23934630,54966472,0,118,926,0,401,60540,
Autobusai,23,23-06,2910,23926835,54889382,35,138,966,191,581,60492,
Autobusai,23,23-04,2981,23947532,54829645,0,198,927,0,696,60780,
Autobusai,23,23-02,2921,23886225,54932168,33,336,958,36,3,60517,
Autobusai,19,19-02,2903,23998678,54922780,38,0,990,4,351,60544,
Autobusai,19,19-01,1513,23970105,54919217,14,140,990,76,449,60616,
Autobusai,63,63-02,1515,23876537,54926713,13,238,998,100,705,60580,
Autobusai,63,63-01,2859,23875782,54907657,0,358,997,123,1002,60484,
Autobusai,67,67-01,1518,23881422,54864327,13,110,997,-43,704,60496,
Autobusai,67,67-02,1521,23897727,54875347,43,264,978,161,706,60522,
Autobusai,67,67-03,1555,23921130,54920925,0,84,1016,0,521,61140,
Autobusai,39,39-01,1524,23879138,54924103,19,320,988,67,34,60608,
Autobusai,39,39-02,2856,24053250,54907965,0,58,931,298,264,60479,
Autobusai,39,39-05,2911,23922340,54895370,0,268,964,363,575,60484,
Autobusai,39,39-03,2966,23925113,54897930,20,134,964,31,576,60571,
Autobusai,39,39-04,2990,23843655,54921643,49,280,930,166,610,60527,
Autobusai,39,39-07,2958,24027313,54901937,29,302,998,-29,347,60630,
Autobusai,26,26-05,2925,23993722,54929918,17,282,999,-14,282,60466,
Autobusai,26,26-06,2920,24016708,54918165,50,92,953,27,331,60507,
Autobusai,26,26-02,2955,23943280,54915122,0,42,975,-45,431,60494,
Autobusai,26,26-01,2774,23854985,54866382,0,166,950,0,139,60720,
Autobusai,26,26-04,1525,23921532,54906128,0,236,978,141,442,60514,
Autobusai,37,37-03,1613,23979153,54923423,21,302,1001,90,450,60570,
Autobusai,37,37-07,2916,23956402,54913172,17,184,991,24,479,60565,
Autobusai,37,37-06,2850,23888775,54915353,0,312,989,124,71,60545,
Autobusai,37,37-11,2846,23920717,54898782,23,92,974,61,492,60661,
Autobusai,37,37-04,2908,23897717,54934413,4,194,1003,-55,14,60485,
Autobusai,37,37-05,2919,23892377,54914950,4,32,972,36,66,60517,
Autobusai,37,37-09,2937,23999545,54926242,0,2,953,0,6,61500,
Autobusai,37,37-02,2948,23949262,54905092,0,44,964,344,482,60465,
Autobusai,37,37-01,2991,23999513,54926277,0,358,941,0,6,60720,
Autobusai,37,37-08,2993,23931967,54899060,12,192,984,228,575,60649,
Autobusai,40,40-10,2964,23998127,54916683,0,172,945,0,855,60720,
Autobusai,40,40-04,2968,23949090,54904092,14,254,982,61,483,60482,
Autobusai,40,40-09,2976,23941868,54902677,36,70,979,-33,487,60507,
Autobusai,40,40-02,2939,23998743,54925913,0,186,957,293,8,60474,
Autobusai,40,40-07,2929,23861482,54916528,31,266,943,230,50,60650,
Autobusai,40,40-06,2953,23899155,54895855,38,304,970,155,566,60516,
Autobusai,40,40-05,2844,23892270,54924407,0,334,957,183,33,60603,
Autobusai,40,40-01,1624,23886533,54904680,25,118,993,107,561,60647,
Autobusai,40,40-08,1561,23956557,54913425,30,8,968,408,457,60588,
Autobusai,40,40-03,1557,23976218,54925152,0,140,996,-72,358,60468,
Autobusai,34G,34G-02,1558,23937093,54889548,36,228,999,-26,376,60574,
Autobusai,34G,34G-04,2812,23929888,54887495,0,136,970,26,377,60566,
Autobusai,34G,34G-05,2923,23940227,54887343,0,18,954,0,417,60960,
Autobusai,34G,34G-08,2926,23863995,54915715,0,102,950,0,50,61020,
Autobusai,34G,34G-03,2954,23886503,54930027,28,82,1000,-6,2,60534,
Autobusai,34G,34G-07,2963,23923533,54913400,18,116,984,-43,539,60556,
