Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,
Autobusai,18,17219781542,4127,25318470,54722290,0,114,942,0,59826,KWNZ,
Troleibusai,18,17038711609,2626,25236428,54668798,17,110,969,-65,59825,,
Autobusai,3G,17337231553,4583,25271640,54651588,20,170,953,147,59837,KWNZD,
Autobusai,55,16737521614,8028,25215170,54691150,13,42,974,68,59356,KWNZ,
Autobusai,36,17337361620,4115,25326840,54770098,21,226,980,4,59825,KWNZ,
Autobusai,10,17311251637,4133,25244578,54731528,11,146,997,0,59822,KWNZ,
Troleibusai,2,17330711631,1680,25279758,54677758,9,326,991,-33,59838,KZ,
Autobusai,15,16737471620,7059,25321650,54724298,29,230,980,-42,59821,KWNZ,
Autobusai,54,16492401631,3122,25277068,54672870,0,260,991,-64,59829,KWNZ,
Autobusai,7,17375311631,8032,25305488,54717088,26,354,991,0,59837,KWNZ,
Autobusai,31,16214201641,4177,25284288,54671050,0,266,1001,0,59817,KWNZD,
Troleibusai,12,16493151551,1742,25287250,54694768,12,74,951,574,59823,KWNZ,
Autobusai,4G,17343921607,8016,25304400,54703568,6,8,967,-36,59712,KWNZ,
Autobusai,24,17337301624,4007,25249510,54711848,0,156,984,55,59826,Z,
Autobusai,29,16227901635,941,25250750,54666130,23,72,995,29,59827,Z,
Autobusai,4G,17343911633,8001,25326488,54726810,0,306,993,-28,59829,KWNZ,
Autobusai,82,16507081608,4121,25269708,54586738,7,192,968,0,59712,KWNZ,
Autobusai,30,16202901625,3124,25286068,54708520,0,234,985,32,59642,KWNZ,
Autobusai,25,17154641607,4116,25209308,54646128,0,228,967,0,59827,KWNZ,
Autobusai,50,16215131618,950,25290120,54706248,37,14,978,133,59835,Z,
Autobusai,48,15657401634,965,25254548,54716208,19,82,994,9,59830,Z,
Troleibusai,12,16493131529,1677,25298058,54723340,15,336,929,166,59293,KZ,
Autobusai,36,17337381559,4137,25350908,54792888,36,346,959,177,59589,KWNZ,
Autobusai,68,16835381548,795,25213750,54677970,0,272,948,0,59820,KZ,
Autobusai,3G,17337051619,4575,25262200,54701880,0,122,979,63,59768,WNZD,
Autobusai,63,16347831616,4032,25126030,54717378,44,292,976,-24,59833,KZ,
Autobusai,10,17311321613,939,25284828,54707078,11,198,973,220,59820,Z,
Autobusai,40,17337441559,4107,25225808,54743940,0,270,959,0,59833,KWNZ,
Autobusai,10,17311271552,726,25247090,54731188,24,228,952,-60,59836,KZ,
Autobusai,10,17311291602,3035,25286808,54716928,30,356,962,166,59834,KZ,
Autobusai,56,17337591557,4520,25254950,54730428,1,8,957,-50,59770,KWNZ,
Autobusai,46,17337521617,997,25257860,54703858,44,290,977,265,59346,Z,
Troleibusai,19,17368051552,2121,25228120,54712338,26,36,952,-172,59708,,
Troleibusai,4,17368161622,1633,25294768,54689390,22,242,982,-103,59837,,
Troleibusai,7,17274821634,2688,25285080,54674418,9,22,994,-114,59826,KZ,
Autobusai,116,16341231614,7029,25214580,54677950,40,288,974,-91,59822,KWNZ,
Autobusai,1G,17218031556,4181,25282138,54762348,0,6,956,0,59822,KWNZD,
Troleibusai,7,17274731559,2715,25281568,54676290,32,134,959,94,59694,KZ,
Autobusai,61,17136231610,7017,25285588,54671120,1,214,970,0,59730,KWNZ,
Autobusai,4G,17343931609,8015,25281928,54694718,0,278,969,103,59718,KWNZ,
Troleibusai,3,17274191551,2582,25304568,54704590,0,356,951,176,59769,,
Autobusai,3G,17337171606,4597,25279968,54695050,0,284,966,366,59832,KWNZD,
