Country Code,Name,Location,Latitude,Longitude,System ID,URL,Auto-Discovery URL
CA,Lime Edmonton,"Edmonton, CA",53.5461245,-113.4938229,lime_edmonton,https://www.li.me/,https://data.lime.bike/api/partners/v2/gbfs/edmonton/gbfs.json
CA,Lime Kelowna,"Kelowna, CA",49.8879519,-119.4960106,lime_kelowna,https://www.li.me,https://data.lime.bike/api/partners/v2/gbfs/kelowna/gbfs.json
CA,Lime Ottawa,"Ottawa, CA",45.4215296,-75.6971931,lime_ottawa,https://www.li.me/,https://data.lime.bike/api/partners/v2/gbfs/ottawa/gbfs.json
CA,Mobi Bike Share,"Vancouver, CA",49.2827291,-123.1207375,mobi_bikes,https://www.mobibikes.ca/,https://vancouver-gbfs.smoove.pro/gbfs/gbfs.json
CA,Neuron Mobility,"Calgary, CA",51.0447331,-114.0718831,11b14b88-3598-4d3c-821d-e6f2e37cd901,https://www.neuron.sg,https://mds-global-yyc.neuron-mobility.com/gbfs/2/
CA,Neuron Mobility,"Ottawa, CA",45.4215296,-75.6971931,11b14b88-3598-4d3c-821d-e6f2e37cd901,https://www.neuron.sg,https://mds-global-yow.neuron-mobility.com/gbfs/2/
CA,Neuron Mobility,"Red Deer, CA",52.268975,-113.8115599,11b14b88-3598-4d3c-821d-e6f2e37cd901,https://www.neuron.sg,https://mds-global-yqf.neuron-mobility.com/gbfs/2/
CA,Red Deer,"Red Deer, CA",52.268975,-113.8115599,Link_Red_Deer,https://www.link.city,https://wrangler-mds-production.herokuapp.com/gbfs/Red%20Deer/gbfs.json
CA,Roll Calgary,"Calgary, CA",51.0447331,-114.0718831,roll_technologies_ca,https://rollscooters.com,https://data.rollapi.com/v1/gbfs/calgary/gbfs.json
CA,Roll Kelowna,"Kelowna, CA",49.8879519,-119.4960106,roll_technologies_ca,https://rollscooters.com,https://data.rollapi.com/v1/gbfs/kelowna/gbfs.json
CA,Roll Ottawa,"Ottawa, CA",45.4215296,-75.6971931,roll_technologies_ca,https://rollscooters.com,https://data.rollapi.com/v1/gbfs/ottawa/gbfs.json
CA,Sobi Hamilton,"Hamilton, CA",39.7426598,-122.0135914,sobi_hamilton,https://hamilton.socialbicycles.com/,https://hamilton.socialbicycles.com/opendata/gbfs.json
CA,Spin Edmonton,"Edmonton, CA",53.5461245,-113.4938229,spin edmonton,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_2/edmonton/gbfs
CA,Spin Kelowna,"Kelowna, CA",49.8879519,-119.4960106,spin kelowna_sr,https://www.spin.app,https://gbfs.spin.pm/api/gbfs/v2_2/kelowna/gbfs.json
